2025-03-23 02:49:53,562 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:08:32,519 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:08:42,540 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:08:52,558 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:09:02,585 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:09:12,602 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:09:22,622 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:09:32,646 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:09:42,665 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:09:52,682 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:10:02,702 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:10:12,726 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:10:22,746 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:10:32,762 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:10:42,782 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:10:52,806 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:11:02,825 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:11:12,842 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:11:22,862 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:11:32,886 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:11:42,906 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:11:52,922 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:12:35,084 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:12:45,099 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:12:55,123 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:13:05,144 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:13:15,164 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:13:25,180 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:13:35,206 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:13:45,224 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:13:55,246 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:14:05,259 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:14:15,287 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:14:25,306 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:14:35,326 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:14:45,339 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:14:55,367 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:15:05,384 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:15:15,404 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:15:25,419 - QUEUE_SIZES: audio_queue: 0, text_queue: 1, response_queue: 0, tts_queue: 0
2025-03-23 03:15:35,445 - QUEUE_SIZES: audio_queue: 0, text_queue: 1, response_queue: 0, tts_queue: 0
2025-03-23 03:15:45,467 - QUEUE_SIZES: audio_queue: 0, text_queue: 1, response_queue: 0, tts_queue: 0
2025-03-23 03:15:55,488 - QUEUE_SIZES: audio_queue: 0, text_queue: 1, response_queue: 0, tts_queue: 0
2025-03-23 03:16:05,500 - QUEUE_SIZES: audio_queue: 0, text_queue: 1, response_queue: 0, tts_queue: 0
2025-03-23 03:16:15,527 - QUEUE_SIZES: audio_queue: 0, text_queue: 1, response_queue: 0, tts_queue: 0
2025-03-23 03:16:25,547 - QUEUE_SIZES: audio_queue: 0, text_queue: 1, response_queue: 0, tts_queue: 0
2025-03-23 03:16:35,566 - QUEUE_SIZES: audio_queue: 0, text_queue: 1, response_queue: 0, tts_queue: 0
2025-03-23 03:16:45,580 - QUEUE_SIZES: audio_queue: 0, text_queue: 1, response_queue: 0, tts_queue: 0
2025-03-23 03:17:17,222 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:17:27,252 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:17:37,276 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:17:47,297 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:17:57,317 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:18:07,331 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:18:17,360 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:18:27,380 - QUEUE_SIZES: audio_queue: 0, text_queue: 1, response_queue: 0, tts_queue: 0
2025-03-23 03:18:37,397 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:18:47,412 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:18:57,440 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:19:07,457 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:19:17,478 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:19:27,487 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:19:37,491 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:19:47,508 - QUEUE_SIZES: audio_queue: 0, text_queue: 1, response_queue: 0, tts_queue: 0
2025-03-23 03:19:57,521 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:20:07,542 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:28:53,143 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:29:03,159 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:29:13,178 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:29:23,202 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:33:27,122 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:33:37,127 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:33:47,151 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:33:57,172 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:34:07,187 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:34:17,208 - QUEUE_SIZES: audio_queue: 0, text_queue: 1, response_queue: 0, tts_queue: 0
2025-03-23 03:36:18,369 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:36:28,382 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:36:38,399 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:36:48,424 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:36:58,447 - QUEUE_SIZES: audio_queue: 0, text_queue: 1, response_queue: 0, tts_queue: 0
2025-03-23 03:37:08,466 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:37:18,480 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:37:28,505 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:37:38,510 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:37:48,529 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:37:58,554 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:38:08,573 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:38:18,589 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:38:28,609 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:38:38,633 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:38:48,652 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:38:58,669 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
2025-03-23 03:39:08,689 - QUEUE_SIZES: audio_queue: 0, text_queue: 0, response_queue: 0, tts_queue: 0
